library,host,host_class,host_order,LibrarySelection
DRR000343,Ciona intestinalis,Ascidiacea,Phlebobranchia,cDNA
DRR000344,Ciona intestinalis,Ascidiacea,Phlebobranchia,cDNA
DRR001882,Ciona intestinalis,Ascidiacea,Phlebobranchia,cDNA
DRR001883,Ciona intestinalis,Ascidiacea,Phlebobranchia,cDNA
DRR015572,Ciona intestinalis,Ascidiacea,Phlebobranchia,RANDOM
DRR015573,Ciona intestinalis,Ascidiacea,Phlebobranchia,RANDOM
DRR032681,Ciona intestinalis,Ascidiacea,Phlebobranchia,other
DRR032682,Ciona intestinalis,Ascidiacea,Phlebobranchia,other
DRR032683,Ciona intestinalis,Ascidiacea,Phlebobranchia,other
DRR032684,Ciona intestinalis,Ascidiacea,Phlebobranchia,other
DRR032685,Ciona intestinalis,Ascidiacea,Phlebobranchia,other
DRR032686,Ciona intestinalis,Ascidiacea,Phlebobranchia,other
DRR032687,Ciona intestinalis,Ascidiacea,Phlebobranchia,other
DRR032688,Ciona intestinalis,Ascidiacea,Phlebobranchia,other
DRR032689,Ciona intestinalis,Ascidiacea,Phlebobranchia,other
DRR032690,Ciona intestinalis,Ascidiacea,Phlebobranchia,other
DRR032691,Ciona intestinalis,Ascidiacea,Phlebobranchia,other
DRR032692,Ciona intestinalis,Ascidiacea,Phlebobranchia,other
DRR032693,Ciona intestinalis,Ascidiacea,Phlebobranchia,other
DRR032694,Ciona intestinalis,Ascidiacea,Phlebobranchia,other
DRR032695,Ciona intestinalis,Ascidiacea,Phlebobranchia,other
DRR032696,Ciona intestinalis,Ascidiacea,Phlebobranchia,other
DRR032697,Ciona intestinalis,Ascidiacea,Phlebobranchia,other
DRR032698,Ciona intestinalis,Ascidiacea,Phlebobranchia,other
DRR032699,Ciona intestinalis,Ascidiacea,Phlebobranchia,other
DRR032700,Ciona intestinalis,Ascidiacea,Phlebobranchia,other
DRR032701,Ciona intestinalis,Ascidiacea,Phlebobranchia,other
DRR032702,Ciona intestinalis,Ascidiacea,Phlebobranchia,other
DRR032703,Ciona intestinalis,Ascidiacea,Phlebobranchia,other
DRR032704,Ciona intestinalis,Ascidiacea,Phlebobranchia,other
DRR032705,Ciona intestinalis,Ascidiacea,Phlebobranchia,other
DRR032706,Ciona intestinalis,Ascidiacea,Phlebobranchia,other
DRR032707,Ciona intestinalis,Ascidiacea,Phlebobranchia,other
DRR032708,Ciona intestinalis,Ascidiacea,Phlebobranchia,other
DRR032709,Ciona intestinalis,Ascidiacea,Phlebobranchia,other
DRR032710,Ciona intestinalis,Ascidiacea,Phlebobranchia,other
DRR032711,Ciona intestinalis,Ascidiacea,Phlebobranchia,other
DRR032712,Ciona intestinalis,Ascidiacea,Phlebobranchia,other
DRR032713,Ciona intestinalis,Ascidiacea,Phlebobranchia,other
DRR032714,Ciona intestinalis,Ascidiacea,Phlebobranchia,other
DRR032715,Ciona intestinalis,Ascidiacea,Phlebobranchia,other
DRR032716,Ciona intestinalis,Ascidiacea,Phlebobranchia,other
DRR032717,Ciona intestinalis,Ascidiacea,Phlebobranchia,other
DRR032718,Ciona intestinalis,Ascidiacea,Phlebobranchia,other
DRR032719,Ciona intestinalis,Ascidiacea,Phlebobranchia,other
DRR032720,Ciona intestinalis,Ascidiacea,Phlebobranchia,other
DRR032721,Ciona intestinalis,Ascidiacea,Phlebobranchia,other
DRR032722,Ciona intestinalis,Ascidiacea,Phlebobranchia,other
DRR032723,Ciona intestinalis,Ascidiacea,Phlebobranchia,other
DRR032724,Ciona intestinalis,Ascidiacea,Phlebobranchia,other
DRR032725,Ciona intestinalis,Ascidiacea,Phlebobranchia,other
DRR032726,Ciona intestinalis,Ascidiacea,Phlebobranchia,other
DRR032727,Ciona intestinalis,Ascidiacea,Phlebobranchia,other
DRR032728,Ciona intestinalis,Ascidiacea,Phlebobranchia,other
DRR032729,Ciona intestinalis,Ascidiacea,Phlebobranchia,other
DRR033088,Ciona intestinalis,Ascidiacea,Phlebobranchia,RANDOM
DRR033089,Ciona intestinalis,Ascidiacea,Phlebobranchia,RANDOM
DRR033090,Ciona intestinalis,Ascidiacea,Phlebobranchia,RANDOM
DRR075500,Ciona intestinalis,Ascidiacea,Phlebobranchia,RT-PCR
DRR075501,Ciona intestinalis,Ascidiacea,Phlebobranchia,RT-PCR
DRR075502,Ciona intestinalis,Ascidiacea,Phlebobranchia,RT-PCR
DRR075503,Ciona intestinalis,Ascidiacea,Phlebobranchia,RT-PCR
DRR075504,Ciona intestinalis,Ascidiacea,Phlebobranchia,RT-PCR
DRR075505,Ciona intestinalis,Ascidiacea,Phlebobranchia,RT-PCR
DRR082839,Ciona intestinalis,Ascidiacea,Phlebobranchia,Oligo-dT
DRR082840,Ciona intestinalis,Ascidiacea,Phlebobranchia,Oligo-dT
DRR090236,Halocynthia roretzi,Ascidiacea,Stolidobranchia,PolyA
DRR090237,Halocynthia roretzi,Ascidiacea,Stolidobranchia,PolyA
DRR090238,Halocynthia roretzi,Ascidiacea,Stolidobranchia,PolyA
DRR090239,Halocynthia roretzi,Ascidiacea,Stolidobranchia,PolyA
DRR090240,Halocynthia roretzi,Ascidiacea,Stolidobranchia,PolyA
DRR090241,Halocynthia roretzi,Ascidiacea,Stolidobranchia,PolyA
DRR090242,Halocynthia roretzi,Ascidiacea,Stolidobranchia,PolyA
DRR090243,Halocynthia roretzi,Ascidiacea,Stolidobranchia,PolyA
DRR090244,Halocynthia roretzi,Ascidiacea,Stolidobranchia,PolyA
DRR090245,Halocynthia roretzi,Ascidiacea,Stolidobranchia,PolyA
DRR090246,Halocynthia roretzi,Ascidiacea,Stolidobranchia,PolyA
DRR090247,Halocynthia roretzi,Ascidiacea,Stolidobranchia,PolyA
DRR090248,Halocynthia roretzi,Ascidiacea,Stolidobranchia,PolyA
DRR090249,Halocynthia roretzi,Ascidiacea,Stolidobranchia,PolyA
DRR090250,Halocynthia roretzi,Ascidiacea,Stolidobranchia,PolyA
DRR090251,Halocynthia roretzi,Ascidiacea,Stolidobranchia,PolyA
DRR090252,Halocynthia roretzi,Ascidiacea,Stolidobranchia,PolyA
DRR090253,Halocynthia roretzi,Ascidiacea,Stolidobranchia,PolyA
DRR090254,Halocynthia roretzi,Ascidiacea,Stolidobranchia,PolyA
DRR090255,Halocynthia roretzi,Ascidiacea,Stolidobranchia,PolyA
DRR090256,Halocynthia roretzi,Ascidiacea,Stolidobranchia,PolyA
DRR090257,Halocynthia roretzi,Ascidiacea,Stolidobranchia,PolyA
DRR090258,Halocynthia roretzi,Ascidiacea,Stolidobranchia,PolyA
DRR090259,Halocynthia roretzi,Ascidiacea,Stolidobranchia,PolyA
DRR090260,Halocynthia roretzi,Ascidiacea,Stolidobranchia,PolyA
DRR090261,Halocynthia roretzi,Ascidiacea,Stolidobranchia,PolyA
DRR090262,Halocynthia roretzi,Ascidiacea,Stolidobranchia,PolyA
DRR090263,Halocynthia roretzi,Ascidiacea,Stolidobranchia,PolyA
DRR090264,Halocynthia roretzi,Ascidiacea,Stolidobranchia,PolyA
DRR090265,Halocynthia roretzi,Ascidiacea,Stolidobranchia,PolyA
DRR090266,Halocynthia roretzi,Ascidiacea,Stolidobranchia,PolyA
DRR090267,Halocynthia roretzi,Ascidiacea,Stolidobranchia,PolyA
DRR090268,Halocynthia roretzi,Ascidiacea,Stolidobranchia,PolyA
DRR090269,Halocynthia roretzi,Ascidiacea,Stolidobranchia,PolyA
DRR090270,Halocynthia roretzi,Ascidiacea,Stolidobranchia,PolyA
DRR090271,Halocynthia roretzi,Ascidiacea,Stolidobranchia,PolyA
DRR090297,Oikopleura dioica,Appendicularia,Copelata,PolyA
DRR090298,Oikopleura dioica,Appendicularia,Copelata,PolyA
DRR090299,Oikopleura dioica,Appendicularia,Copelata,PolyA
DRR090300,Oikopleura dioica,Appendicularia,Copelata,PolyA
DRR090301,Oikopleura dioica,Appendicularia,Copelata,PolyA
DRR090302,Oikopleura dioica,Appendicularia,Copelata,PolyA
DRR090303,Oikopleura dioica,Appendicularia,Copelata,PolyA
DRR090304,Oikopleura dioica,Appendicularia,Copelata,PolyA
DRR090305,Oikopleura dioica,Appendicularia,Copelata,PolyA
DRR090306,Oikopleura dioica,Appendicularia,Copelata,PolyA
DRR090307,Oikopleura dioica,Appendicularia,Copelata,PolyA
DRR090308,Oikopleura dioica,Appendicularia,Copelata,PolyA
